  9.00000  0.92147999E+01  0.13414907E+01  0.00000000E+00
 27.00000  0.10640698E+02  0.14829330E+01  0.00000000E+00
 45.00000  0.96508780E+01  0.98889393E+00  0.00000000E+00
 63.00000  0.87207909E+01  0.61333400E+00  0.00000000E+00
 81.00000  0.89007483E+01  0.44781938E+00  0.00000000E+00
 98.99999  0.93196516E+01  0.43851662E+00  0.00000000E+00
117.00000  0.91085548E+01  0.43477616E+00  0.00000000E+00
135.00000  0.88971186E+01  0.54826701E+00  0.00000000E+00
153.00000  0.11640321E+02  0.14278078E+01  0.00000000E+00
171.00000  0.79039145E+01  0.78376514E+00  0.00000000E+00
