1.4125 16.9573116  0.669993877
1.4375 21.1375198  0.841908634
1.4625 25.0469246  0.895781577
1.4875 26.4213009  0.821260452
1.5125 27.8590488  0.839193463
1.5375 26.8363647  0.745055914
1.5625 25.2885494  0.772065401
1.5875 24.3505840  0.726087809
1.6125 25.2798691  0.792695165
1.6375 25.2332859  0.677454591
1.6675 27.0924969  0.740953445
1.6875 29.5937500  1.009391670
1.7125 29.3590240  0.827775657
1.7375 27.1775723  0.787593246
1.7625 23.0916538  0.571380198
1.7875 22.6117191  1.401969550
1.8125 21.8507690  0.567111194
1.8375 21.6777077  0.548908293
1.8625 19.3002529  0.458987623 
1.8875 19.8309669  0.478347659
