1.4125 0.433909 0.0300485
1.4375 0.615911 0.0390225
1.4625 0.838868 0.0451998
1.4875 1.11138  0.0540932
1.5125 1.38449  0.0642538
1.5375 1.17613  0.0543039
1.5625 1.39926  0.0616992
1.5875 1.30191  0.0665796
1.6125 1.30683  0.0569211
1.6375 1.49494  0.0605891
1.6625 2.12594  0.0877614
1.6875 2.39061  0.0901759
1.7125 3.36784  0.111487
1.7375 3.24027  0.106735
1.7625 2.75205  0.0992348
1.7875 2.70146  0.107186
1.8125 2.5596   0.0917844
1.8375 2.24878  0.0841666
1.8625 2.50202  0.0893495
1.8875 2.28228  0.0880953
1.9125 2.41368  0.0982081
1.9375 2.14081  0.0822106
1.9625 2.10912  0.0810627
1.9875 2.13165  0.0841649
