  1.08647  0.37624962E+01  0.88640952E+00  0.00000000E+00
  1.14373  0.22461611E+02  0.43162355E+01  0.00000000E+00
  1.20099  0.59698929E+02  0.70281000E+01  0.00000000E+00
  1.25825  0.46731735E+02  0.10391971E+02  0.00000000E+00
  1.31551  0.32936756E+02  0.76461506E+01  0.00000000E+00
  1.37276  0.25111343E+02  0.67762523E+01  0.00000000E+00
  1.43002  0.23193279E+02  0.56164021E+01  0.00000000E+00
  1.48728  0.11841401E+02  0.40243692E+01  0.00000000E+00
  1.54454  0.77210789E+01  0.18617849E+01  0.00000000E+00
  1.60180  0.12084227E+01  0.13762619E+00  0.00000000E+00
