  0.28152  0.35260251E+01  0.88158929E+00  0.00000000E+00
  0.32628 -0.10768859E+01  0.21091360E+02  0.00000000E+00
  0.37104  0.19019144E+02  0.52869296E+01  0.00000000E+00
  0.41580  0.27494638E+02  0.86460180E+01  0.00000000E+00
  0.46056  0.41846802E+02  0.15174786E+02  0.00000000E+00
  0.50531  0.19517776E+02  0.47882552E+01  0.00000000E+00
  0.55007  0.23063976E+02  0.62653399E+01  0.00000000E+00
  0.59483  0.27661388E+02  0.67775064E+01  0.00000000E+00
  0.63959  0.27918644E+02  0.66819787E+01  0.00000000E+00
  0.68435  0.74048314E+01  0.33100140E+01  0.00000000E+00
