1.4125 1.02251 0.148657
1.4375 1.47937 0.212616
1.4625 2.13827 0.30649
1.4875 3.0234 0.432762
1.5125 3.61492 0.516939
1.5375 3.03853 0.433139
1.5625 3.10004 0.441803
1.5875 3.12479 0.446021
1.6125 3.33492 0.476123
1.6375 3.74396 0.533394
1.6625 4.85079 0.689126
1.6875 5.89797 0.835158
1.7125 6.99968 0.989872
1.7375 6.75035 0.955304
1.7625 5.89556 0.835715
1.7875 5.11407 0.724681
1.8125 5.36157 0.760618
1.8375 5.19324 0.737742
1.8625 5.28604 0.749342
1.8875 5.16089 0.731521
1.9125 5.2001 0.738949
1.9375 4.8657 0.690857
1.9625 4.95626 0.704035
1.9875 4.36291 0.619053

