1.4125 0.728124 0.0415479
1.4375 1.0275   0.0555219
1.4625 1.47115  0.0731802
1.4875 2.06982  0.103591
1.5125 2.37129  0.0965931
1.5375 2.12297  0.102879
1.5625 2.12682  0.0985515
1.5875 1.97918  0.0834758
1.6125 2.42443  0.102991
1.6375 2.67745  0.108872
1.6625 3.2014   0.123453
1.6875 3.92943  0.134087
1.7125 4.84382  0.163256
1.7375 4.82731  0.16946
1.7625 3.60338  0.11336
1.7875 3.15308  0.101521
1.8125 3.26886  0.107405
1.8375 3.07746  0.102582
1.8625 3.19755  0.115394
1.8875 3.19991  0.0965867
1.9125 3.26922  0.106473
1.9375 3.13419  0.110087
1.9625 2.88321  0.0952426
1.9875 2.92309  0.0946871
